0,132,10000 maniacs
133,232,12 stones
233,346,3 doors down
347,563,311
564,587,4 non blondes
588,693,a day to remember
694,907,ac dc
908,912,acid tree
913,913,adam albuquerque
914,1047,adam lambert
1048,1050,adrian suirady
1051,1316,aerosmith
1317,1526,afi
1527,1527,agnela
1528,1729,alanis morissette
1730,1753,alejandro escovedo
1754,1853,alesana
1854,1859,alex turner
1860,2191,alice cooper
2192,2320,alice in chains
2321,2462,all time low
2463,2559,alter bridge
2560,2569,am
2570,2614,amy lee
2615,2729,anberlin
2730,2773,andi deris
2774,2805,andrew w k
2806,2943,angra
2944,3055,the arcade fire
3056,3207,arctic monkeys
3208,3209,arthur brown
3210,3310,asking alexandria
3311,3383,audioslave
3384,3391,audrye sessions
3392,3393,autoramas
3394,3527,avenged sevenfold
3528,3689,avril lavigne
3690,3986,bad religion
3987,4108,badfinger
4109,4182,band of horses
4183,4186,banda sum
4187,4187,barao vermelho
4188,4271,barlowgirl
4272,4305,beady eye
4306,4488,beastie boys
4489,4819,beck
4820,4874,beeshop
4875,5061,ben harper
5062,5134,ben kweller
5135,5155,bens brother
5156,5272,berlin
5273,5333,big star
5334,5371,bill haley his comets
5372,5420,billy burnette
5421,5511,billy squier
5512,5515,biosystem 55
5516,5517,biquini cavadao
5518,5724,black sabbath
5725,5726,black ties
5727,5834,black veil brides
5835,5906,bleach
5907,5998,blessthefall
5999,6185,blink 182
6186,6351,blondie
6352,6355,blowdrivers
6356,6552,blur
6553,7111,bob dylan
7112,7483,bon jovi
7484,7486,boogarins
7487,7487,box 47
7488,7588,breaking benjamin
7589,7702,bring me the horizon
7703,8204,bruce springsteen
8205,8448,bryan adams
8449,8511,buddy holly
8512,8517,buddy knox
8518,8564,buffalo springfield
8565,8680,bullet for my valentine
8681,8756,bumblefoot
8757,8901,bush
8902,8902,camisa de venus
8903,8947,camp rock
8948,8949,capital inicial
8950,9010,carbona
9011,9012,dr cascadura
9013,9032,cassia eller
9033,9033,cazuza
9034,9043,celio azevedo
9044,9049,chal
9050,9133,chantal kreviazuk
9134,9140,charge
9141,9143,charlie brown jr
9144,9335,cheap trick
9336,9438,chris cornell
9439,9587,chris isaak
9588,9591,chris richardson
9592,9775,chuck berry
9776,9820,cinema bizarre
9821,10109,cliff richard and the shadows
10110,10189,cobra starship
10190,10311,coheed and cambria
10312,10525,coldplay
10526,10669,counting crows
10670,10829,cowboy junkies
10830,10830,cpm 22
10831,10831,crazy horse 11
10832,10914,cream
10915,10996,creed
10997,11086,creedence clearwater revival
11087,11203,crowded house
11204,11208,cruithne band
11209,11211,cw7
11212,11244,dan auerbach
11245,11284,dan
11285,11298,dance of days
11299,11371,danko jones
11372,11421,danni carlos
11422,11524,daughtry
11525,11538,dave edmunds
11539,11995,david bowie
11996,12030,dawes
12031,12043,dead fish
12044,12281,deep purple
12282,12338,deerhunter
12339,12503,deftones
12504,12602,demon hunter
12603,12740,descendents
12741,12742,detonautas roque clube
12743,12856,dido
12857,12944,dire straits
12945,12974,dirty pretty things
12975,12992,disperse
12993,13140,disturbed
13141,13185,dog eat dog
13186,13186,dona mag
13187,13311,dr sin
13312,13424,drake bell
13425,13646,duran duran
13647,13656,dying kingdom
13657,13733,eagle eye cherry
13734,13854,echo and the bunnymen
13855,13883,eddie cochran
13884,13933,eddie vedder
13934,14045,elbow
14046,14092,electronic
14093,14591,elvis costello
14592,15362,elvis presley
15363,15469,emmerson nogueira
15470,15480,endeverafter
15481,15607,epica
15608,16032,eric clapton
16033,16033,erro 061
16034,16146,escape the fate
16147,16147,esquerita
16148,16159,esteban
16160,16160,eternal alliance
16161,16285,evanescence
16286,16431,everclear
16432,16432,explosions in the sky
16433,16517,extreme
16518,16590,eyes set to kill
16591,16709,faith no more
16710,16875,fall out boy
16876,16960,falling in reverse
16961,16962,falling sets fire
16963,17028,falling up
17029,17032,filanos
17033,17122,fiona apple
17123,17215,fireflight
17216,17216,fireheat
17217,17218,fiuk
17219,17493,fleetwood mac
17494,17540,flying burrito brothers
17541,17649,flyleaf
17650,17837,foo fighters
17838,17880,for all those sleeping
17881,17887,forestside
17888,17891,forfun
17892,17902,forty deuce
17903,18012,franz ferdinand
18013,18166,freddie mercury
18167,18168,frejat
18169,18169,fresno
18170,18289,funeral for a friend
18290,18443,garbage
18444,18462,gene summers
18463,18612,george michael
18613,18632,glasvegas
18633,18636,gloria
18637,18646,godspeed you black emperor
18647,18650,gold n soul
18651,18655,golden duck orchestra
18656,18844,goo goo dolls
18845,18987,good charlotte
18988,19135,gorillaz
19136,19162,gram parsons
19163,19296,grand funk railroad
19297,19553,green day
19554,19590,greta van fleet
19591,19714,guns n roses
19715,19718,gustavo goulart
19719,19887,heart
19888,19888,hevo84
19889,19918,hey monday
19919,19984,high school musical
19985,20117,him
20118,20185,hinder
20186,20196,hollywood rose
20197,20320,hollywood undead
20321,20447,hoobastank
20448,20448,hori
20449,20451,hurry up
20452,20578,ian dury and the blockheads
20579,20613,ike turner
20614,20747,imagine dragons
20748,20754,in the dark
20755,20905,incubus
20906,20913,interceptor
20914,21084,inxs
21085,21088,ira
21089,21298,iron maiden
21299,21321,iron weasel
21322,21338,isabella taviani
21339,21455,james blunt
21456,21548,james morrison
21549,21632,janes addiction
21633,21770,janis joplin
21771,21944,jars of clay
21945,22148,jerry lee lewis
22149,22149,jesus generation
22150,22214,jet
22215,22357,jimi hendrix
22358,22365,jimmy breedlove
22366,22528,jimmy eat world
22529,22728,joan jett the blackhearts
22729,22774,joe perry project
22775,22928,john lennon
22929,22979,johnny marr
22980,23142,johnny rivers
23143,23273,johnny winter
23274,23442,jonas brothers
23443,23445,jota quest
23446,23629,journey
23630,23675,juliette lewis and the licks
23676,23807,kaiser chiefs
23808,23951,kansas
23952,24057,kasabian
24058,24186,keane
24187,24317,kerli
24318,24320,khorus
24321,24323,kiara
24324,24450,killing joke
24451,24575,kings of leon
24576,24874,kiss
24875,25116,korn
25117,25243,kt tunstall
25244,25292,lcd soundsystem
25293,25405,led zeppelin
25406,25412,legiao urbana
25413,25413,legius
25414,25625,lenny kravitz
25626,25626,leo diaz
25627,25841,less than jake
25842,25868,liam gallagher
25869,25871,libra
25872,26037,lifehouse
26038,26040,like a boss
26041,26190,limp bizkit
26191,26426,linkin park
26427,26433,linkin park jay z
26434,26500,little richard
26501,26503,lobao
26504,26507,lonsdale boys club
26508,26508,los hermanos
26509,26748,lou reed
26749,26806,love
26807,26950,low
26951,26955,lucas ray exp
26956,26961,lulu santos
26962,27147,lynyrd skynyrd
27148,27218,m83
27219,27222,malta
27223,27232,mamilo mandala
27233,27234,mamonas assassinas
27235,27509,manic street preachers
27510,27524,mara
27525,27526,marcelo nova
27527,27772,marianne faithfull
27773,27969,marillion
27970,28195,marilyn manson
28196,28197,marino scheid
28198,28372,maroon 5
28373,28406,massacration
28407,28429,matanza
28430,28524,matchbox 20
28525,28706,mcfly
28707,28915,megadeth
28916,28916,megaira
28917,28972,men at work
28973,29038,meredith brooks
29039,29236,metallica
29237,29316,mgmt
29317,29375,michael kiske
29376,29474,michelle branch
29475,29526,miles kane
29527,29577,mindflow
29578,29639,miranda cosgrove
29640,29800,misfits
29801,29815,missing takes
29816,29819,moptop
29820,30078,morrissey
30079,30109,mortiis
30110,30401,motorhead
30402,30564,muse
30565,30574,os mutantes
30575,30693,my chemical romance
30694,30696,my ghostly cathy
30697,30796,my morning jacket
30797,30801,nacao zumbi
30802,30814,narinas
30815,30835,naruto
30836,30963,natalie merchant
30964,31255,nazareth
31256,31358,needtobreathe
31359,31871,neil young
31872,31939,neutral milk hotel
31940,31940,nevilton
31941,32134,new model army
32135,32441,nick cave the bad seeds
32442,32547,nick jonas
32548,32685,nickelback
32686,32825,nightwish
32826,32972,nirvana
32973,33113,no doubt
33114,33183,noel gallagher
33184,33189,nova
33190,33193,nxzero
33194,33194,o surto
33195,33295,oar
33296,33480,oasis
33481,33486,oficina g3
33487,33594,onerepublic
33595,33605,paralamas do sucesso
33606,33801,ozzy osbourne
33802,33963,p o d
33964,34097,panic at the disco
34098,34273,papa roach
34274,34412,paramore
34413,34556,pat benatar
34557,34572,pato fu
34573,34725,patti smith
34726,34801,paul gilbert
34802,35248,paul mccartney
35249,35250,paulo medeiros
35251,35364,pavement
35365,35598,pearl jam
35599,35601,pedra leticia
35602,35762,phil collins
35763,35845,phoenix
35846,36033,pink floyd
36034,36041,pitty
36042,36213,placebo
36214,36216,planet hemp
36217,36220,poemas eletricos
36221,36331,poets of the fall
36332,36451,primal scream
36452,36452,propagnda
36453,36538,puddle of mudd
36539,36539,pull down
36540,36542,purple eyed raven
36543,36788,queen
36789,36916,queens of the stone age
36917,37182,r e m
37183,37391,radiohead
37392,37482,rage against the machine
37483,37498,raimundos
37499,37590,rainbow
37591,37639,rammstein
37640,37872,the ramones
37873,37886,rascal experience
37887,37921,raul seixas
37922,37924,reacao em cadeia
37925,38013,red
38014,38293,red hot chili peppers
38294,38301,red light dc
38302,38332,renato russo
38333,38335,resgate
38336,38344,resylia
38345,38435,reverend horton heat
38436,38436,rhino head
38437,38706,richard thompson
38707,38774,sambora richie
38775,38941,ricky nelson
38942,39092,rise against
39093,39093,rising heart
39094,39110,rita lee
39111,39122,ritchie valens
39123,39582,rod stewart
39583,39585,rodox
39586,39590,rodrigo lamore
39591,39598,rollercoaster band
39599,40053,the rolling stones
40054,40054,ronnie von
40055,40058,rosa de saron
40059,40267,roxette
40268,40270,rpm
40271,40271,rude
40272,40465,rush
40466,40491,russell allen
40492,40725,ryan adams
40726,40822,crepusculo trilha sonora
40823,40823,saint pradier
40824,40921,saliva
40922,41109,santana
41110,41255,sarah mclachlan
41256,41282,savages
41283,41284,scalene
41285,41324,scars on broadway
41325,41589,scorpions
41590,41632,scott stapp
41633,41633,scracho
41634,41655,screamin jay hawkins
41656,41778,seether
41779,41784,septembre
41785,41860,serj tankian
41861,42024,sheryl crow
42025,42132,shinedown
42133,42146,sigur ros
42147,42260,silverchair
42261,42437,simple minds
42438,42553,simple plan
42554,42633,sixx a m
42634,42637,skank
42638,42747,skid row
42748,42898,skillet
42899,43117,slade
43118,43227,slashs snakepit
43228,43322,sleeping with sirens
43323,43456,slipknot
43457,43504,small faces
43505,43784,smashing pumpkins
43785,43936,snow patrol
43937,44183,sonic youth
44184,44334,soul asylum
44335,44340,souls of rage
44341,44344,sound of june
44345,44483,soundgarden
44484,44605,staind
44606,44788,stereophonics
44789,45041,steve earle
45042,45076,steven tyler
45077,45224,stevie nicks
45225,45233,stone breeze
45234,45376,stone sour
45377,45489,stray cats
45490,45503,sublime with rome
45504,45629,sum 41
45630,45630,supercombo
45631,45650,superdrive
45651,45759,supernatural serie
45760,45871,survivor
45872,45872,suspense
45873,46074,switchfoot
46075,46199,system of a down
46200,46307,taking back sunday
46308,46358,tank band
46359,46468,tarja turunen
46469,46502,ted nugent
46503,46656,teenage fanclub
46657,46770,tenacious d
46771,46866,the all american rejects
46867,46974,the animals
46975,47012,the automatic
47013,47220,the band
47221,47577,beach boys
47578,47919,the beatles
47920,48071,the black keys
48072,48122,the bravery
48123,48281,the byrds
48282,48343,the cab
48344,48403,the calling
48404,48508,cramps
48509,48655,the cranberries
48656,48814,the cult
48815,49094,the cure
49095,49130,the dead weather
49131,49268,the donnas
49269,49426,the doors
49427,49434,the ed sons
49435,49482,faces
49483,49668,the flaming lips
49669,49764,the fray
49765,49891,the gathering
49892,49940,gazette
49941,49950,the go team
49951,49964,the good the bad the queen
49965,50067,the hives
50068,50176,the jam
50177,50333,the jesus and mary chain
50334,50472,the killers
50473,50588,the kills
50589,50734,the kooks
50735,50872,the lemonheads
50873,50927,the maccabees
50928,51069,the maine
51070,51075,the melties
51076,51082,the million dollar quartet
51083,51092,the minimalistas
51093,51102,monks
51103,51188,the naked brothers band
51189,51353,the offspring
51354,51366,the panic channel
51367,51486,pogues
51487,51571,the police
51572,51670,the pretty reckless
51671,51708,the raconteurs
51709,51848,the rasmus
51849,51941,the red jumpsuit apparatus
51942,52014,runaways
52015,52112,the smiths
52113,52172,the stone roses
52173,52278,the strokes
52279,52284,the trashmen
52285,52412,the used
52413,52486,the vaccines
52487,52608,the veronicas
52609,52706,the verve
52707,52793,the vines
52794,52796,the whales
52797,53053,the who
53054,53145,theory of a deadman
53146,53338,third day
53339,53445,thirty seconds to mars
53446,53575,thousand foot krutch
53576,53685,three days grace
53686,53687,titas
53688,53692,to have heroes
53693,53807,toby mac
53808,53891,tokio hotel
53892,54112,tom petty and the heartbreakers
54113,54416,tori amos
54417,54417,torugo teles
54418,54560,train
54561,54903,u2
54904,54918,ultraje a rigor
54919,55206,uriah heep
55207,55270,vampire weekend
55271,55419,van halen
55420,55929,van morrison
55930,56019,vanessa carlton
56020,56056,vanguart
56057,56057,velhas virgens
56058,56155,velvet underground
56156,56162,viktor hiugo
56163,56163,vitor de martinelli
56164,56319,warren zevon
56320,56411,we the kings
56412,56672,weezer
56673,56809,the white stripes
56810,56978,whitesnake
56979,57167,wilco
57168,57319,within temptation
57320,57368,wolfmother
57369,57526,wwe
57527,57597,x band
57598,57755,yellowcard
57756,57948,yes
57949,57953,yves klein blue
57954,57956,ze maholics
57957,58153,zz top
58154,58255,2 chainz
58256,58266,21 savage
58267,58366,3oh3
58367,58853,50 cent
58854,58939,ace hood
58940,59258,akon
59259,59259,alexandre ghati
59260,59440,ashanti
59441,59441,audiodax
59442,59541,b gizzle
59542,59808,b o b
59809,59920,b2k
59921,59926,baby boy da prince
59927,59960,bad meets evil
59961,60143,beastie boys
60144,60404,beyonce
60405,60513,big sean
60514,60581,big bang
60582,60667,birdman
60668,60831,black eyed peas
60832,60889,black moon
60890,60936,blake lewis
60937,61102,bow wow
61103,61106,brisco
61107,61152,bun b
61153,61154,calle 13
61155,61219,cardi b
61220,61438,chamillionaire
61439,61484,chance the rapper
61485,61491,chantelle paige
61492,61573,cher lloyd
61574,61632,cherish
61633,61664,chiddy bang
61665,62249,chris brown
62250,62260,chris webby
62261,62333,christina milian
62334,62497,ciara
62498,62503,closed heart surgery
62504,62504,codder
62505,62557,colby o donis
62558,62715,common
62716,62737,cory gunz
62738,62753,d woods
62754,62894,d12
62895,62904,daddy yankee
62905,62924,danny brown
62925,62958,diddy dirty money
62959,63091,dj khaled
63092,63377,drake
63378,63565,e 40
63566,63607,eamon
63608,63611,ed sheeran yelawolf
63612,64080,eminem
64081,64125,ester dean
64126,64127,fabio coco
64128,64221,far east movement
64222,64372,fat joe
64373,64461,fergie
64462,64598,flo rida
64599,64632,flobots
64633,64682,fort minor
64683,64764,foxy brown
64765,64893,frank ocean
64894,64900,franky fade
64901,65014,g unit
65015,65015,gabriel pensador
65016,65018,glasses malone
65019,65166,gorillaz
65167,65213,grits
65214,65391,gucci mane
65392,65406,gudda gudda
65407,65478,gym class heroes
65479,65549,hoodie allen
65550,65810,ice cube
65811,65922,iggy azalea
65923,65934,israel cruz
65935,65964,iyaz
65965,65972,izzo
65973,66106,j cole
66107,66298,ja rule
66299,66349,jadakiss
66350,66372,jae millz
66373,66488,jamie foxx
66489,66613,jason derulo
66614,66742,jay sean
66743,67077,jay z
67078,67102,jay z kanye west
67103,67148,jeremih
67149,67193,jhene aiko
67194,67221,john cena
67222,67380,justin timberlake
67381,67625,kanye west
67626,67700,karmin
67701,67702,karol conka
67703,67780,kehlani
67781,67885,keke palmer
67886,67991,kevin gates
67992,68013,kevin rudolf
68014,68117,kid cudi
68118,68150,kreayshawn
68151,68159,kris kross
68160,68163,kyle lucas
68164,68260,lecrae
68261,68265,lil chuckee
68266,68363,lil jon the east side boyz
68364,68393,lil mama
68394,69033,lil wayne
69034,69040,linkin park jay z
69041,69173,lloyd banks
69174,69242,lmfao
69243,69382,m i a
69383,69609,mac miller
69610,69647,mack maine
69648,69650,maddiba
69651,69651,malik mustache
69652,69939,mary j blige
69940,69940,matheus c maraj
69941,69941,matue
69942,70059,meek mill
70060,70060,mika means
70061,70096,mindless behavior
70097,70106,m v p
70107,70191,mystikal
70192,70228,n dubz
70229,70344,nate dogg
70345,70661,ne yo
70662,70662,negra li
70663,70853,nelly
70854,70977,nelly furtado
70978,70978,nellyy chris
70979,71272,nicki minaj
71273,71396,nicole scherzinger
71397,71475,obie trice
71476,71478,ojay
71479,71629,omarion
71630,71632,pablo nunes
71633,71657,pac div
71658,71661,papteezy
71662,71666,patrona
71667,71762,pharrell williams
71763,71967,pitbull
71968,72004,pj morton
72005,72101,plies
72102,72102,preck
72103,72235,puff daddy
72236,72238,rafael viva
72239,72310,ray j
72311,72577,rihanna
72578,72618,rizzle kicks
72619,72633,robot tank
72634,72638,scarub
72639,72730,sean kingston
72731,72910,sean paul
72911,73009,shanell
73010,73016,short dawg
73017,73048,slum village
73049,73507,snoop dogg
73508,73520,snoop dogg and wiz khalifa
73521,73522,sonreal
73523,73553,souleye
73554,73807,soulja boy
73808,73841,sticky fingaz
73842,74015,t pain
74016,74279,t i
74280,74504,the game
74505,74579,the lonely island
74580,74658,the pussycat dolls
74659,74823,timbaland
74824,74949,tinashe
74950,75002,tinie tempah
75003,75003,tom tnf
75004,75015,torion sellers
75016,75048,travie mccoy
75049,75071,travis barker
75072,75478,2pac tupac shakur
75479,75486,twenty88
75487,75614,twista
75615,75763,tyga
75764,76041,usher
76042,76114,velozes e furiosos
76115,76140,vince staples
76141,76165,vinnie paz
76166,76218,waka flocka flame
76219,76301,wale
76302,76452,will smith
76453,76559,will i am
76560,76639,willow smith
76640,76920,wiz khalifa
76921,76947,wretch 32
76948,77111,wu tang clan
77112,77249,wyclef jean
77250,77276,xv
77277,77385,xxxtentacion
77386,77538,xzibit
77539,77549,ya boy
77550,77581,young money
77582,77623,yung joc
77624,77756,nsync
77757,77804,2ne1
77805,77904,3oh3
77905,78067,a ha
78068,78135,a teens
78136,78143,a r rahman
78144,78287,abba
78288,78421,adam lambert
78422,78511,adele
78512,78512,adrian delfenty
78513,78514,adriana calcanhoto
78515,78515,agnela
78516,78516,ahlex a n
78517,78835,akon
78836,78844,alexandra savior
78845,78845,alexandre ghati
78846,79032,alicia keys
79033,79033,aline francelino
79034,79075,allstar weekend
79076,79115,alphabeat
79116,79116,alvaro
79117,79205,alvin the chipmunks
79206,79216,aly michalka
79217,79309,amy winehouse
79310,79315,ana carolina
79316,79322,ana elisa renault
79323,79324,anavitoria
79325,79325,andre finhana
79326,79391,andy grammer
79392,79431,anggun
79432,79449,anitta
79450,79453,anne m
79454,79633,ariana grande
79634,79640,art of noise
79641,79646,arthur melkey
79647,79758,ashley tisdale
79759,79865,austin mahone
79866,80027,avril lavigne
80028,80032,babado novo
80033,80033,babi martinez
80034,80034,bacco
80035,80262,backstreet boys
80263,80266,banda sum
80267,80268,barbara dias
80269,80269,beatz
80270,80321,becky g
80322,80895,bee gees
80896,80911,belinda
80912,80912,belita
80913,80955,bella thorne
80956,81128,belle sebastian
81129,81211,benny benassi
81212,81472,beyonce
81473,81586,big time rush
81587,81654,big bang
81655,81698,billie the vision and the dancers
81699,81862,black eyed peas
81863,81909,blake lewis
81910,82015,blue
82016,82091,bob sinclar
82092,82113,bow wow wow
82114,82237,bread
82238,82247,brenno creezy
82248,82321,bridgit mendler
82322,82630,britney spears
82631,82631,bruna rocha
82632,82632,bruni b
82633,82646,bruno bessa
82647,82790,bruno mars
82791,82791,bruno maury
82792,82793,bryan haller
82794,82801,burlesque trilha sonora
82802,82805,cadu ferreira
82806,82807,caio dias
82808,82919,calvin harris
82920,82977,camila cabello
82978,83022,camp rock
83023,83127,carly rae jepsen
83128,83295,carole king
83296,83306,cartho
83307,83419,cascada
83420,83480,cash cash
83481,83500,cassia eller
83501,83585,cassie
83586,83770,cat stevens
83771,83996,celine dion
83997,84003,chantelle paige
84004,84089,charice
84090,84090,chay suede
84091,84173,the cheetah girls
84174,84485,cher
